0	0.585000	300.000000
0	5.130000	285.000000
0	9.360000	270.000000
0	16.875000	240.000000
0	23.310000	210.000000
0	28.620000	180.000000
0	32.580000	150.000000
0	35.100000	120.000000
0	35.460000	90.000000
0	34.515000	75.000000
0	32.670000	60.000000
0	29.745000	45.000000
0	25.335000	30.000000
0	22.320000	22.500000
0	18.585000	15.000000
0	13.455000	7.500000
0	9.675000	3.750000
0	0.000000	0.000000
0	-7.425000	3.750000
0	-10.215000	7.500000
0	-13.545000	15.000000
0	-15.570000	22.500000
0	-16.875000	30.000000
0	-18.450000	45.000000
0	-19.035000	60.000000
0	-18.990000	75.000000
0	-18.540000	90.000000
0	-17.100000	120.000000
0	-15.030000	150.000000
0	-12.420000	180.000000
0	-9.630000	210.000000
0	-6.750000	240.000000
0	-3.690000	270.000000
0	-2.160000	285.000000
0	-0.585000	300.000000
