248.000000	0	0.000000
246.938560	0	0.141360
243.774080	0	0.540640
238.561120	0	1.148240
231.386480	0	1.909600
222.376640	0	2.794960
211.680400	0	3.774560
199.486240	0	4.823600
186.000000	0	5.912320
171.452320	0	7.001040
156.093680	0	8.052560
140.184480	0	9.022240
124.000000	0	9.865440
107.815520	0	10.535040
91.906320	0	10.988880
84.141440	0	11.120320
76.547680	0	11.182320
69.157280	0	11.169920
62.000000	0	11.075680
55.108080	0	10.904560
48.513760	0	10.651600
42.241840	0	10.319280
36.319600	0	9.905120
30.771840	0	9.411600
25.623360	0	8.838720
20.898960	0	8.196400
16.613520	0	7.497040
12.786880	0	6.745600
9.438880	0	5.939600
6.579440	0	5.056720
4.225920	0	4.082080
2.383280	0	3.010720
1.061440	0	1.902160
0.265360	0	0.865520
0.000000	0	0.000000
0.265360	0	-0.865520
1.061440	0	-1.902160
2.383280	0	-3.010720
4.225920	0	-4.082080
6.579440	0	-5.056720
9.438880	0	-5.939600
12.786880	0	-6.745600
16.613520	0	-7.497040
20.898960	0	-8.196400
25.623360	0	-8.838720
30.771840	0	-9.411600
36.319600	0	-9.905120
42.241840	0	-10.319280
48.513760	0	-10.651600
55.108080	0	-10.904560
62.000000	0	-11.075680
69.157280	0	-11.169920
76.547680	0	-11.182320
84.141440	0	-11.120320
91.906320	0	-10.988880
107.815520	0	-10.535040
124.000000	0	-9.865440
140.184480	0	-9.022240
156.093680	0	-8.052560
171.452320	0	-7.001040
186.000000	0	-5.912320
199.486240	0	-4.823600
211.680400	0	-3.774560
222.376640	0	-2.794960
231.386480	0	-1.909600
238.561120	0	-1.148240
243.774080	0	-0.540640
246.938560	0	-0.141360
248.000000	0	0.000000
